init_time,target_time,lead_hours,lead_days,grid_lat,grid_lon,pred_z500_m,pred_t850_c,pred_u850_ms,pred_v850_ms,pred_q850_gkg,pred_wind850_ms
2026-05-11T00:00:00,2026-05-11T00:00:00,0,0.0,40.0,33.0,5728.382886491223,13.407920839844905,1.272155483248298,1.995300160981074,6.9201233758424685,2.3663478835475162
2026-05-11T00:00:00,2026-05-11T06:00:00,6,0.25,40.0,33.0,5716.8315417244185,11.966766352097352,0.6920405274395307,1.889640127211095,7.361492280892001,2.0123766799446736
2026-05-11T00:00:00,2026-05-11T12:00:00,12,0.5,40.0,33.0,5714.243262391803,14.277752041741792,3.247153944540628,1.1488797981551642,7.337738258740734,3.4444061215476336
2026-05-11T00:00:00,2026-05-11T18:00:00,18,0.75,40.0,33.0,5706.522327879504,13.615670153148699,2.859432386917433,0.11649454263778125,7.268973325574413,2.861804422705492
2026-05-11T00:00:00,2026-05-12T00:00:00,24,1.0,40.0,33.0,5690.891786440088,12.763876241291314,3.1034935193231377,0.49301181859090093,7.057601228506405,3.1424087381737946
2026-05-11T00:00:00,2026-05-12T06:00:00,30,1.25,40.0,33.0,5686.029981994324,12.853725918155419,2.3500679825119732,1.3038388018457354,7.018817164857749,2.687529561442333
2026-05-11T00:00:00,2026-05-12T12:00:00,36,1.5,40.0,33.0,5683.182109231776,16.02633712826139,4.1333807098840225,1.7808436939380528,6.801048340918214,4.500693319376502
2026-05-11T00:00:00,2026-05-12T18:00:00,42,1.75,40.0,33.0,5665.005615922734,15.277183037500095,4.038472796251085,1.3801872363182923,6.717394614382366,4.267807321489102
2026-05-11T00:00:00,2026-05-13T00:00:00,48,2.0,40.0,33.0,5627.411173821002,12.832929259513207,4.937345931105028,1.7901125381292218,6.606405557588513,5.251846127083963
2026-05-11T00:00:00,2026-05-13T06:00:00,54,2.25,40.0,33.0,5607.259699100539,11.031449032337719,5.061504680048756,1.2411262208218972,6.634445696916957,5.211451229951894
2026-05-11T00:00:00,2026-05-13T12:00:00,60,2.5,40.0,33.0,5627.018519057947,13.553526420089497,6.203509947153407,-0.309812415039147,6.048084157049605,6.211241373263774
2026-05-11T00:00:00,2026-05-13T18:00:00,66,2.75,40.0,33.0,5636.415215841702,12.002576583215728,3.906892731248263,-0.6688025713100032,6.469923599663918,3.9637239677948544
2026-05-11T00:00:00,2026-05-14T00:00:00,72,3.0,40.0,33.0,5621.082317519695,10.73675425951808,2.825158295428423,0.4727293869139757,6.5250719269907,2.8644358026459757
2026-05-11T00:00:00,2026-05-14T06:00:00,78,3.25,40.0,33.0,5600.496085719266,10.157333928791218,2.1076920557768517,1.1534308353453753,6.6137122850675745,2.4026586303323203
2026-05-11T00:00:00,2026-05-14T12:00:00,84,3.5,40.0,33.0,5591.405362457869,10.998883413119643,4.104456841108231,-0.25865520325688607,6.676979993798238,4.112598749536845
2026-05-11T00:00:00,2026-05-14T18:00:00,90,3.75,40.0,33.0,5577.883088909078,8.468900905079522,3.396473852135159,-1.9000264860024174,6.458410445674412,3.8918036018982947
2026-05-11T00:00:00,2026-05-15T00:00:00,96,4.0,40.0,33.0,5555.099881662611,6.637140047646994,3.501301277117477,-2.3292155500390948,5.959191365663141,4.205277126621788
2026-05-11T00:00:00,2026-05-15T06:00:00,102,4.25,40.0,33.0,5558.932093085754,5.993979026441252,3.5309621180832664,-2.541697194845881,5.5430171182311305,4.350622726648047
2026-05-11T00:00:00,2026-05-15T12:00:00,108,4.5,40.0,33.0,5587.169464113764,9.071728793087118,4.1868231000032665,-1.4208498001497674,5.010687997761498,4.421346155336245
2026-05-11T00:00:00,2026-05-15T18:00:00,114,4.75,40.0,33.0,5602.497634368097,8.645594647337589,3.2943613789695974,-0.6798924995697391,5.178249315711647,3.3637881482366954
2026-05-11T00:00:00,2026-05-16T00:00:00,120,5.0,40.0,33.0,5594.9180915938705,8.218996985602303,3.1460724386847687,0.6070345570998867,5.161112482036878,3.2041009258394757
2026-05-11T00:00:00,2026-05-16T06:00:00,126,5.25,40.0,33.0,5592.188645669262,8.102386502998002,2.522119849206433,1.634752811413989,5.3484661939035005,3.00557902710726
2026-05-11T00:00:00,2026-05-16T12:00:00,132,5.5,40.0,33.0,5603.790423157927,10.768526831854274,2.6762325183630082,2.3614616832689705,6.000805879549653,3.5691345973346436
2026-05-11T00:00:00,2026-05-16T18:00:00,138,5.75,40.0,33.0,5592.970127712017,10.237797406943741,1.8130442241654237,2.9141572640649542,6.569447698620001,3.432119158549444
2026-05-11T00:00:00,2026-05-17T00:00:00,144,6.0,40.0,33.0,5560.068855642327,8.108444801780593,3.8972137891141756,2.98320595322582,6.7803278131886024,4.907931649628349
2026-05-11T00:00:00,2026-05-17T06:00:00,150,6.25,40.0,33.0,5522.412498368669,6.590716024698509,6.445641335891764,1.0676808628565198,5.9459116556961344,6.533470337873021
2026-05-11T00:00:00,2026-05-17T12:00:00,156,6.5,40.0,33.0,5541.345707651694,8.058750818401336,8.075838626774441,-1.1388573711626861,5.628147746644441,8.155744333753583
2026-05-11T00:00:00,2026-05-17T18:00:00,162,6.75,40.0,33.0,5572.648217409195,6.573797691218374,6.6580726537859505,-2.8353134972523435,5.8691495016689466,7.23663831421701
2026-05-11T00:00:00,2026-05-18T00:00:00,168,7.0,40.0,33.0,5594.080097885102,5.353193524662515,4.823076622358769,-4.417439144342751,5.799187061148348,6.540323898639524
