init_time,target_time,lead_hours,lead_days,grid_lat,grid_lon,pred_z500_m,pred_t850_c,pred_u850_ms,pred_v850_ms,pred_q850_gkg,pred_wind850_ms
2026-05-13T12:00:00,2026-05-13T12:00:00,0,0.0,40.0,33.0,5653.523391002408,15.619562017354497,9.043823206284344,3.855773779578726,5.783108634053291,9.831466300904156
2026-05-13T12:00:00,2026-05-13T18:00:00,6,0.25,40.0,33.0,5657.035894992329,13.999493980323336,4.682898192299945,1.3882406156374714,6.620443521863528,4.884336954628703
2026-05-13T12:00:00,2026-05-14T00:00:00,12,0.5,40.0,33.0,5627.554141581632,12.330637264572601,2.0967034157574744,2.596120014736101,6.760143169403543,3.3370652292939127
2026-05-13T12:00:00,2026-05-14T06:00:00,18,0.75,40.0,33.0,5604.190057449453,10.91855754127539,2.087837157952208,2.5086584944218515,7.115696201743793,3.263806280979443
2026-05-13T12:00:00,2026-05-14T12:00:00,24,1.0,40.0,33.0,5586.659958535327,10.775008813217596,3.830871638052031,-0.09005647184532961,7.426344259164885,3.831930019631449
2026-05-13T12:00:00,2026-05-14T18:00:00,30,1.25,40.0,33.0,5567.806225818447,7.691979309796466,2.854970560671859,-2.741077987983303,6.570124353502793,3.957823320779944
2026-05-13T12:00:00,2026-05-15T00:00:00,36,1.5,40.0,33.0,5553.900303349791,5.776731256648077,3.54889337805821,-2.852886139633739,5.609815075779068,4.553416687998114
2026-05-13T12:00:00,2026-05-15T06:00:00,42,1.75,40.0,33.0,5571.324358460362,5.21499695775276,2.8720073183615114,-2.4867033088483765,5.153555945791144,3.7989629351915957
2026-05-13T12:00:00,2026-05-15T12:00:00,48,2.0,40.0,33.0,5599.370805612759,8.913637250976194,3.235487558762429,-1.915974047271277,4.477308344340902,3.7602308829011473
2026-05-13T12:00:00,2026-05-15T18:00:00,54,2.25,40.0,33.0,5621.254329124611,8.74060456076188,2.4973903718632755,-1.6423961854405889,4.582445147620962,2.989050668594493
2026-05-13T12:00:00,2026-05-16T00:00:00,60,2.5,40.0,33.0,5628.251418990567,7.719819238691002,2.675609419672128,-0.9596544043509923,4.615837684335045,2.8425028306808207
2026-05-13T12:00:00,2026-05-16T06:00:00,66,2.75,40.0,33.0,5638.820676557574,8.058776166931807,2.5056545960485437,-0.3952733139859319,4.669563986590797,2.536640681580387
2026-05-13T12:00:00,2026-05-16T12:00:00,72,3.0,40.0,33.0,5662.250503345036,12.705542030240053,2.8985630457628986,0.3139822254631355,4.398810890256399,2.9155192621845383
2026-05-13T12:00:00,2026-05-16T18:00:00,78,3.25,40.0,33.0,5663.790952822573,13.597502499238203,1.8780553069805137,2.2875777262161563,4.788080232468683,2.9597472171720933
2026-05-13T12:00:00,2026-05-17T00:00:00,84,3.5,40.0,33.0,5642.602004966698,11.051311416571139,3.1067546365284215,3.273494960168449,5.7684357689873345,4.513058123472274
2026-05-13T12:00:00,2026-05-17T06:00:00,90,3.75,40.0,33.0,5626.061423073,9.696555584324983,4.046741599799589,2.9292725612096433,6.740557398593028,4.995673659618314
2026-05-13T12:00:00,2026-05-17T12:00:00,96,4.0,40.0,33.0,5628.017717359804,12.385980349028273,6.016371520925759,1.2845073279069652,6.708658226798336,6.151965974650154
2026-05-13T12:00:00,2026-05-17T18:00:00,102,4.25,40.0,33.0,5617.283652862432,9.791105602982157,5.239658090317903,-1.2985235276054823,6.317251075083297,5.39816452650147
2026-05-13T12:00:00,2026-05-18T00:00:00,108,4.5,40.0,33.0,5591.165356736873,7.431157416123483,5.642899415236343,-1.8359555322909387,5.773437909191048,5.934058183656811
2026-05-13T12:00:00,2026-05-18T06:00:00,114,4.75,40.0,33.0,5589.321185197777,6.509741954717924,6.801742848311676,-2.129639810565351,5.539706853829207,7.127346736149705
2026-05-13T12:00:00,2026-05-18T12:00:00,120,5.0,40.0,33.0,5618.622596598607,8.344320120251382,7.374261899838004,-3.7190983984366426,5.581459752705853,8.259021217108986
2026-05-13T12:00:00,2026-05-18T18:00:00,126,5.25,40.0,33.0,5632.5449547310845,7.2283402026056365,5.3576488949200325,-4.736472081644109,5.687850371715486,7.151123650268671
2026-05-13T12:00:00,2026-05-19T00:00:00,132,5.5,40.0,33.0,5631.578627756869,6.2386502849855106,4.14204852861576,-4.3450649207509,5.7080889379277355,6.003012175478908
2026-05-13T12:00:00,2026-05-19T06:00:00,138,5.75,40.0,33.0,5635.467801138184,7.039801454180292,3.522918924496821,-3.2086679582096735,5.695024679074678,4.765134606138559
2026-05-13T12:00:00,2026-05-19T12:00:00,144,6.0,40.0,33.0,5652.500777508259,11.271311312529747,3.700408327096852,-1.9856320537977012,5.1081978793267035,4.199494783937301
2026-05-13T12:00:00,2026-05-19T18:00:00,150,6.25,40.0,33.0,5651.600643481484,10.6771091673196,1.858011128808812,-2.239243501296116,5.553673716850671,2.9097107782173617
2026-05-13T12:00:00,2026-05-20T00:00:00,156,6.5,40.0,33.0,5635.250535171242,9.567759701001364,0.9167871268823546,-1.2746936713586692,5.445932889807992,1.57014094648189
2026-05-13T12:00:00,2026-05-20T06:00:00,162,6.75,40.0,33.0,5617.230293241535,9.299014580946846,-0.15952442699426683,-0.47976943108670156,5.584474159542663,0.5055954408547475
2026-05-13T12:00:00,2026-05-20T12:00:00,168,7.0,40.0,33.0,5619.844914665479,11.449431814931472,0.5192861864247789,-0.9384128261331668,5.806640047246292,1.072509569030891
