field,n,mae,rmse,bias,corr,actual_range,range_accuracy_pct,persistence_rmse,skill_vs_persistence_pct
z500_m,280,17.153531681018723,27.859493924253883,3.3161779903999524,0.8938387069084278,202.0,91.50815263315904,84.63747079362754,67.08373529711919
t850_c,280,1.3017947136583565,1.9181721903452538,-0.6328093791197776,0.770922050454831,10.3,87.36121637224896,3.9047867902923796,50.876391122967654
wind850_ms,280,1.9445840518309532,2.322431076568839,-1.3093314675124734,0.46617078183422916,8.555555555555555,77.27109549807977,2.6761718207907097,13.218162655839983
