forecast_id,init_time,rows_scored,target_start,target_end,z500_m_mae,z500_m_rmse,t850_c_mae,t850_c_rmse,wind850_ms_mae,wind850_ms_rmse
20260506T12Z,2026-05-06T12:00:00,28,2026-05-06T18:00:00,2026-05-13T12:00:00,28.862535234051716,47.32459564097678,0.8627484957527466,1.184224522711227,1.7513902653654363,2.2402954695332062
20260507T00Z,2026-05-07T00:00:00,28,2026-05-07T06:00:00,2026-05-14T00:00:00,26.46879515143431,42.64981181732726,1.1517687054455172,1.5722135407043396,1.9010666677891481,2.4722934267679557
20260507T12Z,2026-05-07T12:00:00,28,2026-05-07T18:00:00,2026-05-14T12:00:00,9.377455374084482,14.099598726932511,1.208961465807978,1.8189934275936974,1.88029633582082,2.2344797891302965
