target_time,lead_days,grid_lat,grid_lon,pred_z500_m,pred_t850_c,pred_u850_ms,pred_v850_ms,pred_q850_gkg,pred_wind850_ms,actual_z500_m,error_z500_m,actual_t850_c,error_t850_c,actual_wind850_ms,error_wind850_ms
2026-01-02T00:00:00,1.0,40.0,33.0,5457.435790049753,-10.005767164044642,0.6360538431067653,0.347875591973974,1.3064025186758088,0.7249702882340272,5464.0,-6.56420995024655,-9.4,-0.6057671640446411,1.25,-0.5250297117659728
2026-01-03T00:00:00,2.0,40.0,33.0,5564.708440907395,-3.852154285663687,6.260306568197052,4.522077815906101,1.416574567189549,7.7227343668496875,5564.0,0.7084409073950155,-4.6,0.7478457143363126,8.055555555555555,-0.33282118870586785
2026-01-04T00:00:00,3.0,40.0,33.0,5649.371472146044,1.329791480262088,7.545591104852576,5.215062556506979,4.041014947399335,9.172394594101991,5653.0,-3.628527853956257,2.8,-1.4702085197379118,11.444444444444445,-2.2720498503424533
2026-01-05T00:00:00,4.0,40.0,33.0,5693.530723640644,2.53538931677906,3.8236099891244066,5.080038180505767,3.721672375783469,6.3582058211675,5698.0,-4.469276359355717,4.5,-1.9646106832209398,5.305555555555556,1.0526502656119439
2026-01-06T00:00:00,5.0,40.0,33.0,5686.864373365816,3.5192454511721962,2.5553089368995643,4.607124784081861,2.9601366733449375,5.268320656442632,5667.0,19.86437336581639,4.0,-0.4807545488278038,4.638888888888888,0.6294317675537435
2026-01-07T00:00:00,6.0,40.0,33.0,5691.189429557496,5.937933425569668,4.472784184848251,5.6380457407857705,3.5565070269211185,7.196760253018104,5662.0,29.189429557495714,6.8,-0.8620665744303322,8.88888888888889,-1.6921286358707857
2026-01-08T00:00:00,7.0,40.0,33.0,5683.4995652042,6.846573227617796,6.209616070091329,8.13232441500935,4.6749032612618535,10.232010170484275,5659.0,24.499565204199826,6.8,0.04657322761779614,11.777777777777777,-1.5457676072935023
2026-01-09T00:00:00,8.0,40.0,33.0,5534.472673275671,3.435966475528062,5.87853024521678,7.5713614894031025,4.937165484072303,9.585542897882457,5397.0,137.4726732756708,-0.1,3.535966475528062,14.333333333333334,-4.747790435450877
2026-01-10T00:00:00,9.0,40.0,33.0,5533.30731716697,-4.926385173623544,4.970136003614925,1.9438640896472634,1.796666956500076,5.336746152240101,5477.0,56.30731716697028,-4.5,-0.4263851736235438,6.75,-1.4132538477598988
2026-01-11T00:00:00,10.0,40.0,33.0,5600.7741411277375,1.2291415188079782,5.595616421313991,4.904071551811285,3.4132815445678255,7.440486605038917,5506.0,94.7741411277375,5.3,-4.070858481192022,15.61111111111111,-8.170624506072194
2026-01-12T00:00:00,11.0,40.0,33.0,5576.838411099115,1.750553548161065,1.43884552617601,5.84037221356877,3.913899625250905,6.014999920301155,5424.0,152.83841109911464,-0.5,2.250553548161065,4.888888888888889,1.1261110314122655
2026-01-13T00:00:00,12.0,40.0,33.0,5478.221501276826,0.8794512985219853,-2.6223682542677125,4.479682358906302,3.765039487851063,5.190796595676566,5384.0,94.22150127682562,-5.6,6.479451298521985,6.972222222222222,-1.7814256265456567
2026-01-14T00:00:00,13.0,40.0,33.0,5459.88875658845,-4.579050556062043,3.9155855838323532,1.4483876359560668,2.461344141206273,4.174881699917514,5467.0,-7.1112434115502765,-8.1,3.5209494439379565,2.75,1.4248816999175142
2026-01-15T00:00:00,14.0,40.0,33.0,5570.785358745481,1.0704597180589417,5.5616512841979215,8.109001295964674,3.409064023398689,9.832998882588015,5568.0,2.785358745481062,-5.3,6.3704597180589415,7.0,2.832998882588015
2026-01-16T00:00:00,15.0,40.0,33.0,5514.540265690788,3.6949614643978066,-0.938422824447116,9.960782280319165,3.741123340526009,10.004889856133529,5599.0,-84.45973430921185,-0.6,4.294961464397806,9.416666666666666,0.5882231894668628
2026-01-17T00:00:00,16.0,40.0,33.0,5449.944954830942,0.14531621206481304,3.0326977848692422,3.674888938345134,3.8472167896990705,4.764668358188452,5499.0,-49.05504516905785,-4.2,4.345316212064813,9.055555555555555,-4.290887197367104
2026-01-18T00:00:00,17.0,40.0,33.0,5485.384974095705,-1.4856788522087072,-2.6878702448216245,0.4684943670684163,3.3097125477880573,2.728393927748025,5427.0,58.38497409570482,-7.2,5.714321147791293,5.666666666666666,-2.938272738918641
2026-01-19T00:00:00,18.0,40.0,33.0,5530.690894574388,-1.143957123537234,-6.225843539675225,-0.31206195839973816,3.6670586201297817,6.233659474690289,5387.0,143.69089457438804,-8.3,7.156042876462767,5.388888888888888,0.8447705858014007
2026-01-20T00:00:00,19.0,40.0,33.0,5559.158815188045,-1.004089364225706,-0.4872957087591203,-1.2525267584306334,3.555898848748962,1.343979310986521,5486.0,73.15881518804508,-7.6,6.595910635774294,7.944444444444445,-6.600465133457924
2026-01-21T00:00:00,20.0,40.0,33.0,5625.4197567457595,-0.4675008075577125,0.6158557983303581,0.9200797185616381,2.7127688508820635,1.1071698392051628,5590.0,35.419756745759514,-5.2,4.732499192442288,4.027777777777778,-2.9206079385726147
2026-01-22T00:00:00,21.0,40.0,33.0,5625.876127849379,1.0736699283821736,0.8746887353695456,1.6216366387588437,2.354930035519974,1.842494442853887,5585.0,40.87612784937937,-0.4,1.4736699283821735,10.055555555555555,-8.213061112701668
2026-01-23T00:00:00,22.0,40.0,33.0,5600.436196862058,1.352058353671623,0.16037645582355253,2.6774652918644506,2.5676775720222462,2.6822641549111657,5488.0,112.43619686205784,0.6,0.7520583536716231,5.666666666666666,-2.9844025117555004
