init_time,target_time,lead_hours,lead_days,grid_lat,grid_lon,pred_z500_m,pred_t850_c,pred_u850_ms,pred_v850_ms,pred_q850_gkg,pred_wind850_ms,actual_t850_c,actual_z500_m,actual_wind850_ms,error_z500_m,error_t850_c,error_wind850_ms
2026-05-08T12:00:00,2026-05-08 18:00:00,6,0.25,40.0,33.0,5747.363151304912,13.235185089558968,1.914609005488046,-0.3519272954803689,4.878613363177853,1.9466844801354048,14.0,5748.0,1.5277777777777777,-0.6368486950877923,-0.7648149104410322,0.41890670235762717
2026-05-08T12:00:00,2026-05-09 00:00:00,12,0.5,40.0,33.0,5734.486596712797,11.86293515006912,1.3349880103269245,1.034939035725273,5.200991695866075,1.6891689659073772,12.8,5731.0,2.7777777777777777,3.486596712797109,-0.9370648499308807,-1.0886088118704005
2026-05-08T12:00:00,2026-05-09 06:00:00,18,0.75,40.0,33.0,5732.052317298719,10.820111091362946,1.1681471537033303,1.9998483805187277,5.677422824114098,2.316022736885061,10.6,5724.0,4.277777777777778,8.052317298718663,0.2201110913629467,-1.9617550408927165
2026-05-08T12:00:00,2026-05-09 12:00:00,24,1.0,40.0,33.0,5734.980792357812,12.752346281145606,1.8880944923557763,1.7771796889935985,6.519499783784521,2.592926620449487,13.8,5724.0,4.083333333333333,10.980792357811879,-1.047653718854395,-1.4904067128838459
2026-05-08T12:00:00,2026-05-09 18:00:00,30,1.25,40.0,33.0,5731.24832064799,12.37907106386558,1.6765193627411463,1.6333543752290467,6.848984901500543,2.340633181155443,11.9,5723.0,4.305555555555555,8.248320647990113,0.47907106386557885,-1.9649223744001123
2026-05-08T12:00:00,2026-05-10 00:00:00,36,1.5,40.0,33.0,5717.46397706239,11.078072222311334,2.4530523664375323,1.6210368309706666,6.885679828987801,2.9402765719993416,10.3,5712.0,4.944444444444445,5.4639770623898585,0.7780722223113337,-2.004167872445103
2026-05-08T12:00:00,2026-05-10 06:00:00,42,1.75,40.0,33.0,5717.452719758403,10.699571586535626,2.2964360067547887,1.6277150197385026,6.909476321015351,2.8147956441990942,10.5,5713.0,4.472222222222222,4.452719758402964,0.199571586535626,-1.657426578023128
2026-05-08T12:00:00,2026-05-10 12:00:00,48,2.0,40.0,33.0,5741.265069735332,14.561670067892578,3.669328188819009,0.7729868083468148,6.449149149507116,3.7498637259425815,14.2,5731.0,6.444444444444444,10.265069735331963,0.36167006789257883,-2.694580718501862
2026-05-08T12:00:00,2026-05-10 18:00:00,54,2.25,40.0,33.0,5747.8242504762065,14.27829884575624,1.6713025521435156,-0.093514876204729,6.707595048322412,1.6739167401256894,14.4,5741.0,1.5277777777777777,6.824250476206544,-0.12170115424376071,0.14613896234791168
2026-05-08T12:00:00,2026-05-11 00:00:00,60,2.5,40.0,33.0,5736.568522512092,12.929568721324928,0.5204939171553633,0.4849081177580778,6.738056924978197,0.7113717737325653,13.3,5728.0,2.611111111111111,8.568522512092386,-0.3704312786750723,-1.8997393373785458
2026-05-08T12:00:00,2026-05-11 06:00:00,66,2.75,40.0,33.0,5730.506014023109,12.56816747996129,0.1495996876765275,1.3792089825709866,6.992143219414659,1.3872986283267963,12.7,5720.0,2.055555555555556,10.506014023108946,-0.13183252003871004,-0.6682569272287595
2026-05-08T12:00:00,2026-05-11 12:00:00,72,3.0,40.0,33.0,5732.003685745496,16.192022365857724,2.8076565797249486,1.1379220354107034,6.903672263653293,3.02948874042239,13.4,5722.0,5.194444444444444,10.003685745496114,2.792022365857724,-2.164955704022054
2026-05-08T12:00:00,2026-05-11 18:00:00,78,3.25,40.0,33.0,5722.726316384,15.109086068290368,2.7693022755933043,0.3110306463575156,7.000937346942848,2.7867140428432604,13.4,5710.0,1.6944444444444442,12.726316383999801,1.7090860682903681,1.0922695983988162
2026-05-08T12:00:00,2026-05-12 00:00:00,84,3.5,40.0,33.0,5704.715755735722,13.67238205824981,3.0331117593057115,0.8701041598206771,6.900729912449277,3.15544738402906,13.2,5699.0,4.666666666666667,5.715755735722269,0.47238205824980994,-1.5112192826376067
2026-05-08T12:00:00,2026-05-12 06:00:00,90,3.75,40.0,33.0,5700.812398151384,13.239262581746177,2.6213592298781805,1.1820580092262531,6.93338447541425,2.875549573428262,12.4,5700.0,5.777777777777778,0.8123981513836043,0.8392625817461763,-2.9022282043495156
2026-05-08T12:00:00,2026-05-12 12:00:00,96,4.0,40.0,33.0,5703.924367265459,16.56916142342527,3.8801181102842297,1.3157644282436962,6.406187290725285,4.097139560765183,16.3,5686.0,2.5555555555555554,17.924367265459296,0.2691614234252704,1.5415840052096277
2026-05-08T12:00:00,2026-05-12 18:00:00,102,4.25,40.0,33.0,5691.708841563441,15.574861694478043,3.1825953028131835,0.7398181949047498,6.4830248407126145,3.2674521913871457,15.1,5663.0,1.3333333333333333,28.70884156344073,0.4748616944780437,1.9341188580538125
2026-05-08T12:00:00,2026-05-13 00:00:00,108,4.5,40.0,33.0,5659.481431710395,13.20351029012602,4.038205056147262,0.988954769883648,6.760649944781205,4.157539129385187,11.6,5624.0,2.6666666666666665,35.481431710394645,1.603510290126021,1.4908724627185204
2026-05-08T12:00:00,2026-05-13 06:00:00,114,4.75,40.0,33.0,5635.307271983334,11.913012982624082,4.118552426437304,0.4894378024250017,6.797280928859228,4.147532212262519,11.8,5619.0,7.0,16.30727198333443,0.1130129826240811,-2.8524677877374813
2026-05-08T12:00:00,2026-05-13 12:00:00,120,5.0,40.0,33.0,5630.454473380759,12.713907045295514,4.948673138712934,-1.2957085165972586,6.511971640321246,5.115488871437567,15.6,5654.0,9.555555555555555,-23.545526619241173,-2.886092954704486,-4.440066684117989
2026-05-08T12:00:00,2026-05-13 18:00:00,126,5.25,40.0,33.0,5624.835277522771,9.66196208266922,2.7392506622981045,-2.751929120188791,6.957635251961136,3.882860810464838,15.6,5659.0,6.888888888888889,-34.16472247722868,-5.93803791733078,-3.0060280784240514
2026-05-08T12:00:00,2026-05-14 00:00:00,132,5.5,40.0,33.0,5608.809829859504,7.787177526589971,1.8961004404545747,-2.4517166931452294,6.5994576767045565,3.0993727790859573,13.4,5623.0,2.25,-14.190170140495866,-5.612822473410029,0.8493727790859573
2026-05-08T12:00:00,2026-05-14 06:00:00,138,5.75,40.0,33.0,5603.318967266964,7.423038643935456,1.425434708296052,-2.044833399476687,6.259180438516587,2.4926306864897647,13.0,5606.0,5.166666666666667,-2.681032733035863,-5.576961356064544,-2.6740359801769022
2026-05-08T12:00:00,2026-05-14 12:00:00,144,6.0,40.0,33.0,5608.699508280434,10.313593134270944,2.233220644909693,-1.2291898152780971,5.777870762176729,2.5491532026997255,14.8,5586.0,7.722222222222222,22.699508280434202,-4.486406865729057,-5.173069019522497
2026-05-08T12:00:00,2026-05-14 18:00:00,150,6.25,40.0,33.0,5601.9876784975,8.791131424428045,1.4492504500283303,-1.6246657545159735,5.978108593814424,2.1771232580642454,8.3,5568.0,5.583333333333334,33.98767849750038,0.49113142442804403,-3.4062100752690885
2026-05-08T12:00:00,2026-05-15 00:00:00,156,6.5,40.0,33.0,5578.617515421169,6.982379790225991,2.101957471842752,-1.2340144289213129,5.962680576172996,2.4374201164800393,7.0,5546.0,7.138888888888888,32.61751542116872,-0.0176202097740088,-4.701468772408849
2026-05-08T12:00:00,2026-05-15 06:00:00,162,6.75,40.0,33.0,5574.056055845768,6.39726690379905,2.4376415879872866,-1.7464376539195712,5.807462244963535,2.998689879016047,6.0,5566.0,3.5833333333333335,8.056055845768242,0.39726690379904994,-0.5846434543172863
2026-05-08T12:00:00,2026-05-15 12:00:00,168,7.0,40.0,33.0,5585.362441677823,8.713170208354882,3.510699656930683,-1.916768449189206,5.599590095171858,3.999876669221241,9.8,5591.0,4.916666666666666,-5.6375583221770285,-1.086829791645119,-0.916789997445425
